Date,Brand_and_Source,Net Sentiment
2020-09-01,TIK 21D Digital Article Sentiment,0.996
2020-09-01,TIK 21D Digital Article Sentiment,1.019
2020-09-01,TIK 21D Digital Article Sentiment,0.996
2020-08-31,TIK 21D Digital Article Sentiment,0.956
2020-08-31,TIK 21D Digital Article Sentiment,0.980
2020-08-31,TIK 21D Digital Article Sentiment,0.956
2020-08-31,TIK 21D Digital Article Sentiment,0.980
2020-08-30,TIK 21D Digital Article Sentiment,1.005
2020-08-30,TIK 21D Digital Article Sentiment,1.003
2020-08-30,TIK 21D Digital Article Sentiment,1.005
2020-08-30,TIK 21D Digital Article Sentiment,1.003
2020-08-29,TIK 21D Digital Article Sentiment,1.029
2020-08-29,TIK 21D Digital Article Sentiment,1.047
2020-08-29,TIK 21D Digital Article Sentiment,1.029
2020-08-29,TIK 21D Digital Article Sentiment,1.047
2020-08-28,TIK 21D Digital Article Sentiment,1.085
2020-08-28,TIK 21D Digital Article Sentiment,1.186
2020-08-28,TIK 21D Digital Article Sentiment,1.085
2020-08-28,TIK 21D Digital Article Sentiment,1.186
2020-08-27,TIK 21D Digital Article Sentiment,1.298
2020-08-27,TIK 21D Digital Article Sentiment,1.308
2020-08-27,TIK 21D Digital Article Sentiment,1.298
2020-08-27,TIK 21D Digital Article Sentiment,1.308
2020-08-26,TIK 21D Digital Article Sentiment,1.325
2020-08-26,TIK 21D Digital Article Sentiment,1.316
2020-08-26,TIK 21D Digital Article Sentiment,1.325
2020-08-26,TIK 21D Digital Article Sentiment,1.316
2020-08-25,TIK 21D Digital Article Sentiment,1.347
2020-08-25,TIK 21D Digital Article Sentiment,1.393
2020-08-25,TIK 21D Digital Article Sentiment,1.347
2020-08-25,TIK 21D Digital Article Sentiment,1.393
2020-08-24,TIK 21D Digital Article Sentiment,1.415
2020-08-24,TIK 21D Digital Article Sentiment,1.464
2020-08-24,TIK 21D Digital Article Sentiment,1.415
2020-08-24,TIK 21D Digital Article Sentiment,1.464
2020-08-23,TIK 21D Digital Article Sentiment,1.451
2020-08-23,TIK 21D Digital Article Sentiment,1.437
2020-08-23,TIK 21D Digital Article Sentiment,1.451
2020-08-23,TIK 21D Digital Article Sentiment,1.437
2020-08-22,TIK 21D Digital Article Sentiment,1.452
2020-08-22,TIK 21D Digital Article Sentiment,1.484
2020-08-22,TIK 21D Digital Article Sentiment,1.452
2020-08-22,TIK 21D Digital Article Sentiment,1.484
2020-08-21,TIK 21D Digital Article Sentiment,1.487
2020-08-21,TIK 21D Digital Article Sentiment,1.507
2020-08-21,TIK 21D Digital Article Sentiment,1.487
2020-08-21,TIK 21D Digital Article Sentiment,1.507
2020-08-20,TIK 21D Digital Article Sentiment,1.536
2020-08-20,TIK 21D Digital Article Sentiment,1.563
2020-08-20,TIK 21D Digital Article Sentiment,1.536
2020-08-20,TIK 21D Digital Article Sentiment,1.563
2020-08-19,TIK 21D Digital Article Sentiment,1.641
2020-08-19,TIK 21D Digital Article Sentiment,1.693
2020-08-19,TIK 21D Digital Article Sentiment,1.641
2020-08-19,TIK 21D Digital Article Sentiment,1.693
2020-08-18,TIK 21D Digital Article Sentiment,1.700
2020-08-18,TIK 21D Digital Article Sentiment,1.687
2020-08-18,TIK 21D Digital Article Sentiment,1.700
2020-08-18,TIK 21D Digital Article Sentiment,1.687
2020-08-17,TIK 21D Digital Article Sentiment,1.622
2020-08-17,TIK 21D Digital Article Sentiment,1.547
2020-08-17,TIK 21D Digital Article Sentiment,1.622
2020-08-17,TIK 21D Digital Article Sentiment,1.547
2020-08-16,TIK 21D Digital Article Sentiment,1.529
2020-08-16,TIK 21D Digital Article Sentiment,1.504
2020-08-16,TIK 21D Digital Article Sentiment,1.529
2020-08-16,TIK 21D Digital Article Sentiment,1.504
2020-08-15,TIK 21D Digital Article Sentiment,1.499
2020-08-15,TIK 21D Digital Article Sentiment,1.453
2020-08-15,TIK 21D Digital Article Sentiment,1.499
2020-08-15,TIK 21D Digital Article Sentiment,1.453
2020-08-14,TIK 21D Digital Article Sentiment,1.384
2020-08-14,TIK 21D Digital Article Sentiment,1.339
2020-08-14,TIK 21D Digital Article Sentiment,1.384
2020-08-14,TIK 21D Digital Article Sentiment,1.339
2020-08-13,TIK 21D Digital Article Sentiment,1.322
2020-08-13,TIK 21D Digital Article Sentiment,1.368
2020-08-13,TIK 21D Digital Article Sentiment,1.322
2020-08-13,TIK 21D Digital Article Sentiment,1.368
2020-08-12,TIK 21D Digital Article Sentiment,1.438
2020-08-12,TIK 21D Digital Article Sentiment,1.479
2020-08-12,TIK 21D Digital Article Sentiment,1.438
2020-08-12,TIK 21D Digital Article Sentiment,1.479
2020-08-11,TIK 21D Digital Article Sentiment,1.541
2020-08-11,TIK 21D Digital Article Sentiment,1.634
2020-08-11,TIK 21D Digital Article Sentiment,1.541
2020-08-11,TIK 21D Digital Article Sentiment,1.634
2020-08-10,TIK 21D Digital Article Sentiment,1.687
2020-08-10,TIK 21D Digital Article Sentiment,1.730
2020-08-10,TIK 21D Digital Article Sentiment,1.687
2020-08-10,TIK 21D Digital Article Sentiment,1.730
2020-08-09,TIK 21D Digital Article Sentiment,1.749
2020-08-09,TIK 21D Digital Article Sentiment,1.716
2020-08-09,TIK 21D Digital Article Sentiment,1.749
2020-08-09,TIK 21D Digital Article Sentiment,1.716
2020-08-08,TIK 21D Digital Article Sentiment,1.649
2020-08-08,TIK 21D Digital Article Sentiment,1.625
2020-08-08,TIK 21D Digital Article Sentiment,1.649
2020-08-08,TIK 21D Digital Article Sentiment,1.625
2020-08-07,TIK 21D Digital Article Sentiment,1.541
2020-08-07,TIK 21D Digital Article Sentiment,1.509
2020-08-07,TIK 21D Digital Article Sentiment,1.541
2020-08-07,TIK 21D Digital Article Sentiment,1.509
2020-08-06,TIK 21D Digital Article Sentiment,1.489
2020-08-06,TIK 21D Digital Article Sentiment,1.411
2020-08-06,TIK 21D Digital Article Sentiment,1.489
2020-08-06,TIK 21D Digital Article Sentiment,1.411
2020-08-05,TIK 21D Digital Article Sentiment,1.407
2020-08-05,TIK 21D Digital Article Sentiment,1.383
2020-08-05,TIK 21D Digital Article Sentiment,1.407
2020-08-05,TIK 21D Digital Article Sentiment,1.383
2020-08-04,TIK 21D Digital Article Sentiment,1.323
2020-08-04,TIK 21D Digital Article Sentiment,1.287
2020-08-04,TIK 21D Digital Article Sentiment,1.323
2020-08-04,TIK 21D Digital Article Sentiment,1.287
2020-08-03,TIK 21D Digital Article Sentiment,1.266
2020-08-03,TIK 21D Digital Article Sentiment,1.216
2020-08-03,TIK 21D Digital Article Sentiment,1.266
2020-08-03,TIK 21D Digital Article Sentiment,1.216
2020-08-02,TIK 21D Digital Article Sentiment,1.149
2020-08-02,TIK 21D Digital Article Sentiment,1.058
2020-08-02,TIK 21D Digital Article Sentiment,1.149
2020-08-02,TIK 21D Digital Article Sentiment,1.058
2020-08-01,TIK 21D Digital Article Sentiment,0.947
2020-08-01,TIK 21D Digital Article Sentiment,0.814
2020-08-01,TIK 21D Digital Article Sentiment,0.947
2020-08-01,TIK 21D Digital Article Sentiment,0.814
2020-07-31,TIK 21D Digital Article Sentiment,0.615
2020-07-31,TIK 21D Digital Article Sentiment,0.456
2020-07-31,TIK 21D Digital Article Sentiment,0.615
2020-07-31,TIK 21D Digital Article Sentiment,0.456
2020-07-30,TIK 21D Digital Article Sentiment,0.321
2020-07-30,TIK 21D Digital Article Sentiment,0.210
2020-07-30,TIK 21D Digital Article Sentiment,0.321
2020-07-30,TIK 21D Digital Article Sentiment,0.210
2020-07-29,TIK 21D Digital Article Sentiment,0.098
2020-07-29,TIK 21D Digital Article Sentiment,0.021
2020-07-29,TIK 21D Digital Article Sentiment,0.098
2020-07-29,TIK 21D Digital Article Sentiment,0.021
2020-07-28,TIK 21D Digital Article Sentiment,-0.060
2020-07-28,TIK 21D Digital Article Sentiment,0.014
2020-07-28,TIK 21D Digital Article Sentiment,-0.060
2020-07-28,TIK 21D Digital Article Sentiment,0.014
2020-07-27,TIK 21D Digital Article Sentiment,0.075
2020-07-27,TIK 21D Digital Article Sentiment,0.168
2020-07-27,TIK 21D Digital Article Sentiment,0.075
2020-07-27,TIK 21D Digital Article Sentiment,0.168
2020-07-26,TIK 21D Digital Article Sentiment,0.126
2020-07-26,TIK 21D Digital Article Sentiment,0.092
2020-07-26,TIK 21D Digital Article Sentiment,0.126
2020-07-26,TIK 21D Digital Article Sentiment,0.092
2020-07-25,TIK 21D Digital Article Sentiment,0.125
2020-07-25,TIK 21D Digital Article Sentiment,0.130
2020-07-25,TIK 21D Digital Article Sentiment,0.125
2020-07-25,TIK 21D Digital Article Sentiment,0.130
2020-07-24,TIK 21D Digital Article Sentiment,0.055
2020-07-24,TIK 21D Digital Article Sentiment,0.029
2020-07-24,TIK 21D Digital Article Sentiment,0.055
2020-07-24,TIK 21D Digital Article Sentiment,0.029
2020-07-23,TIK 21D Digital Article Sentiment,-0.003
2020-07-23,TIK 21D Digital Article Sentiment,-0.058
2020-07-23,TIK 21D Digital Article Sentiment,-0.003
2020-07-23,TIK 21D Digital Article Sentiment,-0.058
2020-07-22,TIK 21D Digital Article Sentiment,-0.111
2020-07-22,TIK 21D Digital Article Sentiment,-0.073
2020-07-22,TIK 21D Digital Article Sentiment,-0.111
2020-07-22,TIK 21D Digital Article Sentiment,-0.073
2020-07-21,TIK 21D Digital Article Sentiment,-0.041
2020-07-21,TIK 21D Digital Article Sentiment,0.003
2020-07-21,TIK 21D Digital Article Sentiment,-0.041
2020-07-21,TIK 21D Digital Article Sentiment,0.003
2020-07-20,TIK 21D Digital Article Sentiment,0.056
2020-07-20,TIK 21D Digital Article Sentiment,0.128
2020-07-20,TIK 21D Digital Article Sentiment,0.056
2020-07-20,TIK 21D Digital Article Sentiment,0.128
2020-07-19,TIK 21D Digital Article Sentiment,0.153
2020-07-19,TIK 21D Digital Article Sentiment,0.160
2020-07-19,TIK 21D Digital Article Sentiment,0.153
2020-07-19,TIK 21D Digital Article Sentiment,0.160
2020-07-18,TIK 21D Digital Article Sentiment,0.224
2020-07-17,TIK 21D Digital Article Sentiment,0.274
2020-07-16,TIK 21D Digital Article Sentiment,0.308
2020-07-15,TIK 21D Digital Article Sentiment,0.240
2020-07-14,TIK 21D Digital Article Sentiment,0.176
2020-07-13,TIK 21D Digital Article Sentiment,0.321
2020-07-12,TIK 21D Digital Article Sentiment,0.328
2020-07-11,TIK 21D Digital Article Sentiment,0.319
2020-07-10,TIK 21D Digital Article Sentiment,0.381
2020-07-09,TIK 21D Digital Article Sentiment,0.509
2020-07-08,TIK 21D Digital Article Sentiment,0.562
2020-07-07,TIK 21D Digital Article Sentiment,0.492
2020-07-06,TIK 21D Digital Article Sentiment,0.580
2020-07-05,TIK 21D Digital Article Sentiment,0.576
2020-07-04,TIK 21D Digital Article Sentiment,0.635
2020-07-03,TIK 21D Digital Article Sentiment,0.686
2020-07-02,TIK 21D Digital Article Sentiment,0.747
2020-07-01,TIK 21D Digital Article Sentiment,0.802
2020-06-30,TIK 21D Digital Article Sentiment,0.859
2020-06-29,TIK 21D Digital Article Sentiment,0.939
2020-06-28,TIK 21D Digital Article Sentiment,1.041
2020-06-27,TIK 21D Digital Article Sentiment,1.057
2020-06-26,TIK 21D Digital Article Sentiment,1.029
2020-06-25,TIK 21D Digital Article Sentiment,0.928
2020-06-24,TIK 21D Digital Article Sentiment,1.037
2020-06-23,TIK 21D Digital Article Sentiment,0.998
2020-06-22,TIK 21D Digital Article Sentiment,0.901
2020-06-21,TIK 21D Digital Article Sentiment,0.899
2020-06-20,TIK 21D Digital Article Sentiment,0.796
2020-06-19,TIK 21D Digital Article Sentiment,0.718
2020-06-18,TIK 21D Digital Article Sentiment,0.774
2020-06-17,TIK 21D Digital Article Sentiment,0.822
2020-06-16,TIK 21D Digital Article Sentiment,0.999
2020-06-15,TIK 21D Digital Article Sentiment,0.913
2020-06-13,TIK 21D Digital Article Sentiment,1.052
2020-06-12,TIK 21D Digital Article Sentiment,1.084
2020-06-11,TIK 21D Digital Article Sentiment,1.046
2020-06-10,TIK 21D Digital Article Sentiment,0.986
2020-06-09,TIK 21D Digital Article Sentiment,1.016
2020-06-08,TIK 21D Digital Article Sentiment,1.000
2020-06-07,TIK 21D Digital Article Sentiment,1.043
2020-06-06,TIK 21D Digital Article Sentiment,1.038
2020-06-05,TIK 21D Digital Article Sentiment,1.108
2020-06-04,TIK 21D Digital Article Sentiment,1.244
2020-06-03,TIK 21D Digital Article Sentiment,1.286
2020-06-02,TIK 21D Digital Article Sentiment,1.312
2020-06-01,TIK 21D Digital Article Sentiment,1.408
2020-05-31,TIK 21D Digital Article Sentiment,1.533
2020-05-30,TIK 21D Digital Article Sentiment,1.614
2020-05-29,TIK 21D Digital Article Sentiment,1.810
2020-05-28,TIK 21D Digital Article Sentiment,1.950
2020-05-27,TIK 21D Digital Article Sentiment,1.904
2020-05-26,TIK 21D Digital Article Sentiment,1.904
2020-05-25,TIK 21D Digital Article Sentiment,1.934
2020-05-24,TIK 21D Digital Article Sentiment,2.067
2020-05-23,TIK 21D Digital Article Sentiment,1.972
2020-05-22,TIK 21D Digital Article Sentiment,1.936
2020-05-21,TIK 21D Digital Article Sentiment,2.006
2020-05-20,TIK 21D Digital Article Sentiment,2.106
2020-05-19,TIK 21D Digital Article Sentiment,2.119
2020-05-18,TIK 21D Digital Article Sentiment,2.211
2020-05-17,TIK 21D Digital Article Sentiment,2.206
2020-05-16,TIK 21D Digital Article Sentiment,2.209
2020-05-15,TIK 21D Digital Article Sentiment,2.213
2020-05-14,TIK 21D Digital Article Sentiment,2.223
2020-05-13,TIK 21D Digital Article Sentiment,2.296
2020-05-12,TIK 21D Digital Article Sentiment,2.231
2020-05-11,TIK 21D Digital Article Sentiment,2.210
2020-05-10,TIK 21D Digital Article Sentiment,2.149
2020-05-09,TIK 21D Digital Article Sentiment,2.098
2020-05-08,TIK 21D Digital Article Sentiment,2.054
2020-05-07,TIK 21D Digital Article Sentiment,1.996
2020-05-06,TIK 21D Digital Article Sentiment,1.966
2020-05-05,TIK 21D Digital Article Sentiment,1.930
2020-05-04,TIK 21D Digital Article Sentiment,1.862
2020-05-03,TIK 21D Digital Article Sentiment,1.843
2020-05-02,TIK 21D Digital Article Sentiment,1.922
2020-05-01,TIK 21D Digital Article Sentiment,1.915
2020-04-30,TIK 21D Digital Article Sentiment,1.838
2020-04-29,TIK 21D Digital Article Sentiment,1.893
2020-04-28,TIK 21D Digital Article Sentiment,1.860
2020-04-27,TIK 21D Digital Article Sentiment,1.755
2020-04-26,TIK 21D Digital Article Sentiment,1.738
2020-04-25,TIK 21D Digital Article Sentiment,1.725
2020-04-24,TIK 21D Digital Article Sentiment,1.689
2020-04-23,TIK 21D Digital Article Sentiment,1.678
2020-04-22,TIK 21D Digital Article Sentiment,1.640
2020-04-21,TIK 21D Digital Article Sentiment,1.659
2020-04-20,TIK 21D Digital Article Sentiment,1.631
2020-04-19,TIK 21D Digital Article Sentiment,1.640
2020-04-18,TIK 21D Digital Article Sentiment,1.643
2020-04-17,TIK 21D Digital Article Sentiment,1.558
2020-04-16,TIK 21D Digital Article Sentiment,1.510
2020-04-15,TIK 21D Digital Article Sentiment,1.483
2020-04-14,TIK 21D Digital Article Sentiment,1.436
2020-04-13,TIK 21D Digital Article Sentiment,1.406
2020-04-12,TIK 21D Digital Article Sentiment,1.398
2020-04-11,TIK 21D Digital Article Sentiment,1.291
2020-04-10,TIK 21D Digital Article Sentiment,1.190
2020-04-09,TIK 21D Digital Article Sentiment,1.239
2020-04-08,TIK 21D Digital Article Sentiment,1.109
2020-04-07,TIK 21D Digital Article Sentiment,1.038
2020-04-06,TIK 21D Digital Article Sentiment,0.991
2020-04-05,TIK 21D Digital Article Sentiment,0.811
2020-04-04,TIK 21D Digital Article Sentiment,0.848
2020-04-03,TIK 21D Digital Article Sentiment,0.774
2020-04-02,TIK 21D Digital Article Sentiment,0.634
2020-04-01,TIK 21D Digital Article Sentiment,0.634
2020-03-31,TIK 21D Digital Article Sentiment,0.614
2020-03-30,TIK 21D Digital Article Sentiment,0.582
2020-03-29,TIK 21D Digital Article Sentiment,0.576
2020-03-28,TIK 21D Digital Article Sentiment,0.461
2020-03-27,TIK 21D Digital Article Sentiment,0.299
2020-03-26,TIK 21D Digital Article Sentiment,0.244
2020-03-25,TIK 21D Digital Article Sentiment,0.210
2020-03-24,TIK 21D Digital Article Sentiment,0.165
2020-03-23,TIK 21D Digital Article Sentiment,0.161
2020-03-21,TIK 21D Digital Article Sentiment,0.076
2020-03-20,TIK 21D Digital Article Sentiment,0.030
2020-03-19,TIK 21D Digital Article Sentiment,0.064
2020-03-18,TIK 21D Digital Article Sentiment,0.024
2020-03-17,TIK 21D Digital Article Sentiment,0.000
2020-03-16,TIK 21D Digital Article Sentiment,0.015
2020-03-15,TIK 21D Digital Article Sentiment,0.032
2020-03-14,TIK 21D Digital Article Sentiment,0.131
2020-03-13,TIK 21D Digital Article Sentiment,0.172
2020-03-12,TIK 21D Digital Article Sentiment,0.238
2020-03-11,TIK 21D Digital Article Sentiment,0.277
2020-03-10,TIK 21D Digital Article Sentiment,0.308
2020-03-09,TIK 21D Digital Article Sentiment,0.280
2020-03-08,TIK 21D Digital Article Sentiment,0.329
2020-03-07,TIK 21D Digital Article Sentiment,0.329
2020-03-06,TIK 21D Digital Article Sentiment,0.437
2020-03-05,TIK 21D Digital Article Sentiment,0.626
2020-03-04,TIK 21D Digital Article Sentiment,0.735
2020-03-03,TIK 21D Digital Article Sentiment,0.762
2020-03-02,TIK 21D Digital Article Sentiment,0.736
2020-03-01,TIK 21D Digital Article Sentiment,0.750
2020-02-29,TIK 21D Digital Article Sentiment,0.789
2020-02-28,TIK 21D Digital Article Sentiment,0.930
2020-02-27,TIK 21D Digital Article Sentiment,0.952
2020-02-26,TIK 21D Digital Article Sentiment,0.901
2020-02-25,TIK 21D Digital Article Sentiment,1.013
2020-02-24,TIK 21D Digital Article Sentiment,1.034
2020-02-23,TIK 21D Digital Article Sentiment,0.884
2020-02-22,TIK 21D Digital Article Sentiment,0.855
2020-02-21,TIK 21D Digital Article Sentiment,0.643
2020-02-20,TIK 21D Digital Article Sentiment,0.622
2020-02-19,TIK 21D Digital Article Sentiment,0.630
2020-02-18,TIK 21D Digital Article Sentiment,0.525
2020-02-17,TIK 21D Digital Article Sentiment,0.586
2020-02-16,TIK 21D Digital Article Sentiment,0.604
2020-02-15,TIK 21D Digital Article Sentiment,0.706
2020-02-14,TIK 21D Digital Article Sentiment,0.786
2020-02-13,TIK 21D Digital Article Sentiment,0.688
2020-02-12,TIK 21D Digital Article Sentiment,0.641
2020-02-11,TIK 21D Digital Article Sentiment,0.718
2020-02-10,TIK 21D Digital Article Sentiment,0.815
2020-02-09,TIK 21D Digital Article Sentiment,0.918
2020-02-08,TIK 21D Digital Article Sentiment,0.951
2020-02-07,TIK 21D Digital Article Sentiment,1.008
2020-02-06,TIK 21D Digital Article Sentiment,1.022
2020-02-05,TIK 21D Digital Article Sentiment,1.112
2020-02-04,TIK 21D Digital Article Sentiment,1.147
2020-02-03,TIK 21D Digital Article Sentiment,1.245
2020-02-02,TIK 21D Digital Article Sentiment,1.524
2020-02-01,TIK 21D Digital Article Sentiment,1.749
2020-01-31,TIK 21D Digital Article Sentiment,1.979
2020-01-30,TIK 21D Digital Article Sentiment,1.850
2020-01-29,TIK 21D Digital Article Sentiment,1.828
2020-01-28,TIK 21D Digital Article Sentiment,1.958
2020-01-27,TIK 21D Digital Article Sentiment,1.967
2020-01-26,TIK 21D Digital Article Sentiment,1.976
2020-01-25,TIK 21D Digital Article Sentiment,1.931
2020-01-24,TIK 21D Digital Article Sentiment,1.834
2020-01-23,TIK 21D Digital Article Sentiment,1.845
2020-01-22,TIK 21D Digital Article Sentiment,1.806
2020-01-21,TIK 21D Digital Article Sentiment,1.805
2020-01-20,TIK 21D Digital Article Sentiment,1.883
2020-01-19,TIK 21D Digital Article Sentiment,1.720
2020-01-18,TIK 21D Digital Article Sentiment,1.657
2020-01-17,TIK 21D Digital Article Sentiment,1.588
2020-01-16,TIK 21D Digital Article Sentiment,1.651
2020-01-15,TIK 21D Digital Article Sentiment,1.660
2020-01-14,TIK 21D Digital Article Sentiment,1.567
2020-01-13,TIK 21D Digital Article Sentiment,1.593
2020-01-12,TIK 21D Digital Article Sentiment,1.549
2020-01-10,TIK 21D Digital Article Sentiment,1.345
2020-01-09,TIK 21D Digital Article Sentiment,1.237
2020-01-08,TIK 21D Digital Article Sentiment,1.430
2020-01-07,TIK 21D Digital Article Sentiment,1.536
2020-01-06,TIK 21D Digital Article Sentiment,1.573
2020-01-05,TIK 21D Digital Article Sentiment,1.560
2020-01-04,TIK 21D Digital Article Sentiment,1.488
2020-01-03,TIK 21D Digital Article Sentiment,1.449
2020-01-02,TIK 21D Digital Article Sentiment,1.457
2020-01-01,TIK 21D Digital Article Sentiment,1.593
2019-12-31,TIK 21D Digital Article Sentiment,1.612
2019-12-30,TIK 21D Digital Article Sentiment,1.600
2019-12-29,TIK 21D Digital Article Sentiment,1.553
2019-12-28,TIK 21D Digital Article Sentiment,1.515
2019-12-27,TIK 21D Digital Article Sentiment,1.714
2019-12-26,TIK 21D Digital Article Sentiment,1.727
2019-12-25,TIK 21D Digital Article Sentiment,1.547
2019-12-24,TIK 21D Digital Article Sentiment,1.486
2019-12-23,TIK 21D Digital Article Sentiment,1.443
2019-12-22,TIK 21D Digital Article Sentiment,1.326
2019-12-21,TIK 21D Digital Article Sentiment,1.173
2019-12-20,TIK 21D Digital Article Sentiment,1.292
2019-12-19,TIK 21D Digital Article Sentiment,1.345
2019-12-18,TIK 21D Digital Article Sentiment,1.180
2019-12-17,TIK 21D Digital Article Sentiment,1.014
2019-12-16,TIK 21D Digital Article Sentiment,0.809
2019-12-15,TIK 21D Digital Article Sentiment,0.885
2019-12-14,TIK 21D Digital Article Sentiment,1.063
2019-12-13,TIK 21D Digital Article Sentiment,1.154
2019-12-12,TIK 21D Digital Article Sentiment,1.133
2019-12-11,TIK 21D Digital Article Sentiment,1.091
2019-12-10,TIK 21D Digital Article Sentiment,1.218
2019-12-09,TIK 21D Digital Article Sentiment,1.252
2019-12-08,TIK 21D Digital Article Sentiment,1.210
2019-12-07,TIK 21D Digital Article Sentiment,1.401
2019-12-06,TIK 21D Digital Article Sentiment,1.346
2019-12-05,TIK 21D Digital Article Sentiment,1.413
2019-12-04,TIK 21D Digital Article Sentiment,1.598
2019-12-03,TIK 21D Digital Article Sentiment,1.567
2019-12-02,TIK 21D Digital Article Sentiment,1.637
2019-12-01,TIK 21D Digital Article Sentiment,1.674
2019-11-30,TIK 21D Digital Article Sentiment,1.674
2019-11-29,TIK 21D Digital Article Sentiment,1.602
2019-11-28,TIK 21D Digital Article Sentiment,1.534
2019-11-27,TIK 21D Digital Article Sentiment,1.593
2019-11-26,TIK 21D Digital Article Sentiment,1.652
2019-11-25,TIK 21D Digital Article Sentiment,1.702
2019-11-24,TIK 21D Digital Article Sentiment,1.666
2019-11-23,TIK 21D Digital Article Sentiment,1.661
2019-11-22,TIK 21D Digital Article Sentiment,1.491
2019-11-21,TIK 21D Digital Article Sentiment,1.477
2019-11-20,TIK 21D Digital Article Sentiment,1.407
2019-11-19,TIK 21D Digital Article Sentiment,1.350
2019-11-18,TIK 21D Digital Article Sentiment,1.214
2019-11-17,TIK 21D Digital Article Sentiment,1.151
2019-11-16,TIK 21D Digital Article Sentiment,1.076
2019-11-15,TIK 21D Digital Article Sentiment,1.066
2019-11-14,TIK 21D Digital Article Sentiment,0.958
2019-11-13,TIK 21D Digital Article Sentiment,0.870
2019-11-12,TIK 21D Digital Article Sentiment,1.012
2019-11-11,TIK 21D Digital Article Sentiment,1.020
2019-11-10,TIK 21D Digital Article Sentiment,1.101
2019-11-09,TIK 21D Digital Article Sentiment,1.265
2019-11-08,TIK 21D Digital Article Sentiment,1.344
2019-11-07,TIK 21D Digital Article Sentiment,1.390
2019-11-06,TIK 21D Digital Article Sentiment,1.444
2019-11-05,TIK 21D Digital Article Sentiment,1.458
2019-11-04,TIK 21D Digital Article Sentiment,1.547
2019-11-03,TIK 21D Digital Article Sentiment,1.497
2019-11-02,TIK 21D Digital Article Sentiment,1.358
2019-11-01,TIK 21D Digital Article Sentiment,1.397
2019-10-31,TIK 21D Digital Article Sentiment,1.360
2019-10-30,TIK 21D Digital Article Sentiment,1.439
2019-10-29,TIK 21D Digital Article Sentiment,1.348
2019-10-28,TIK 21D Digital Article Sentiment,1.527
